Row ID,Salesman ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,Product ID, Sales ,Quantity,Discount, Profit 
1,STAFF-116,CA-2016-152156,03-Jan-18,24-Jan-18,Second Class,CG-12520,Claire Gute,Consumer,42700,FUR-BO-10001798, 261.96 ,2,0, 41.9136 
2,STAFF-2537,CA-2016-152156,01-Oct-21,29-Oct-21,Second Class,CG-12520,Claire Gute,Consumer,16500,FUR-CH-10000454, 731.94 ,3,0, 219.582 
3,STAFF-1296,CA-2016-138688,12-Jul-23,04-Aug-23,Second Class,DV-13045,Darrin Van Huff,Corporate,53300,OFF-LA-10000240, 14.62 ,2,0, 6.8714 
4,STAFF-1524,US-2015-108966,03-Dec-20,19-Dec-20,Standard Class,SO-20335,Sean O'Donnell,Consumer,13000,FUR-TA-10000577, 957.5775 ,5,0.45, -383.031 
5,STAFF-570,US-2015-108966,18-Oct-22,14-Nov-22,Standard Class,SO-20335,Sean O'Donnell,Consumer,75200,OFF-ST-10000760, 22.368 ,2,0.2, 2.5164 
6,STAFF-1082,CA-2014-115812,28-Nov-23,11-Dec-23,Standard Class,BH-11710,Brosina Hoffman,Consumer,2800,FUR-FU-10001487, 48.86 ,7,0, 14.1694 
7,STAFF-206,CA-2014-115812,04-Jul-17,25-Jul-17,Standard Class,BH-11710,Brosina Hoffman,Consumer,93400,OFF-AR-10002833, 7.28 ,4,0, 1.9656 
8,STAFF-1585,CA-2014-115812,08-Mar-23,25-Mar-23,Standard Class,BH-11710,Brosina Hoffman,Consumer,24000,TEC-PH-10002275, 907.152 ,6,0.2, 90.7152 
9,STAFF-2173,CA-2014-115812,24-Oct-17,20-Nov-17,Standard Class,BH-11710,Brosina Hoffman,Consumer,11100,OFF-BI-10003910, 18.504 ,3,0.2, 5.7825 
10,STAFF-1073,CA-2014-115812,11-Sep-23,11-Oct-23,Standard Class,BH-11710,Brosina Hoffman,Consumer,93200,OFF-AP-10002892, 114.9 ,5,0, 34.47 
11,STAFF-1546,CA-2014-115812,14-Feb-17,04-Mar-17,Standard Class,BH-11710,Brosina Hoffman,Consumer,86900,FUR-TA-10001539, 1706.184 ,9,0.2, 85.3092 
12,STAFF-1249,CA-2014-115812,18-Nov-22,15-Dec-22,Standard Class,BH-11710,Brosina Hoffman,Consumer,33300,TEC-PH-10002033, 911.424 ,4,0.2, 68.3568 
13,STAFF-470,CA-2017-114412,11-Jun-15,20-Jun-15,Standard Class,AA-10480,Andrew Allen,Consumer,44200,OFF-PA-10002365, 15.552 ,3,0.2, 5.4432 
14,STAFF-2037,CA-2016-161389,24-May-24,11-Jun-24,Standard Class,IM-15070,Irene Maddox,Consumer,73420,OFF-BI-10003656, 407.976 ,3,0.2, 132.5922 
15,STAFF-2205,US-2015-118983,19-Nov-07,29-Nov-07,Standard Class,HP-14815,Harold Pawlan,Home Office,84400,OFF-AP-10002311, 68.81 ,5,0.8, -123.858 
16,STAFF-2887,US-2015-118983,19-Feb-23,10-Mar-23,Standard Class,HP-14815,Harold Pawlan,Home Office,79150,OFF-BI-10000756, 2.544 ,3,0.8, -3.816 
17,STAFF-2688,CA-2014-105893,15-Dec-21,28-Dec-21,Standard Class,PK-19075,Pete Kriz,Consumer,89100,OFF-ST-10004186, 665.88 ,6,0, 13.3176 
